"id","uid","date","Intention to Use 1","Perceived Usefulness 4","Perceived Ease of Use 2","Trust","Sex","Age","Aviophobia","Driving Frequency","Playing Hours","VR Playing Frequency"
"110","9b324b3235a14f3b98b02ce36b395969","2019-05-16 10:08:30","0","50","0","","intersex","0","1","99","99","mehr als 10 mal"
"111","a24bf755207e4d4f97a97588f90d11d3","2019-05-16 10:13:59","100","100","100","","intersex","0","1","0","99","mehr als 10 mal"
"112","d3cd11ef93514216b5a010ad2101fea7","2019-05-16 10:15:14","50","0","0","","keine Angabe","99","1","99","99","Noch nie"
"113","e765e803b461449bafe2f70f7481d861","2019-05-16 10:15:46","20","44","100","","männlich","10","0","0","34","mehr als 10 mal"
"114","07867f84065e44b39e7ba79ce8598fc7","2019-05-16 10:21:01","81","30","79","","männlich","10","0","99","34","unter 10"
"115","ee63529ee1a74dfd968a69ca369163bc","2019-05-16 10:23:23","50","75","50","","männlich","11","0","0","3","unter 10"
"116","6d67dbea0bd3410c90d76f06d1a0b64a","2019-05-16 10:24:34","0","100","86","","männlich","1","0","0","1","Noch nie"
"117","3c0d0edb220240e5b1c9bf3ecfb37988","2019-05-16 10:25:35","0","0","0","","intersex","1","1","1","0","mehr als 10 mal"
"118","00803609c3074d37bc3fa9190c2aa256","2019-05-16 10:25:50","100","98","50","","männlich","99","0","99","99","unter 10"
"119","706ece9f26dd42d7b4eb993c7fba33ef","2019-05-16 10:29:04","50","72","0","","weiblich","10","0","0","23","Ein mal"
"120","ce16b00117e446429201d9b3ad45c73b","2019-05-16 10:30:33","100","100","100","","weiblich","10","0","0","2","unter 10"
"121","8d8e6480c89e427f890202c535255b56","2019-05-16 10:31:29","50","50","50","","männlich","99","0","99","99","unter 10"
"122","42136fd6c90d4bfcb8cc7829b7f79808","2019-05-16 10:33:05","50","50","50","","weiblich","5","0","0","0","unter 10"
"123","4a81013077fc458f8b22ea3c9cc686fa","2019-05-16 10:34:02","50","50","50","","intersex","0","1","0","99","unter 10"
"124","4a81013077fc458f8b22ea3c9cc686fa","2019-05-16 10:34:13","94","50","50","","männlich","8","1","0","14","Noch nie"
"125","2929fc2d55ea42e5a02052824e66e605","2019-05-16 10:36:32","50","50","50","","männlich","22","0","22","66","unter 10"
"126","31454ccf68f14685a52aff9da42d89b3","2019-05-16 10:38:56","93","100","50","","intersex","23","0","29","28","Ein mal"
"127","b304b224633a41eb89584c0fd25511cb","2019-05-16 10:51:24","81","58","100","","weiblich","13","0","0","0","Ein mal"
"128","a12406ee83004ee099a29cbf72afbb53","2019-05-16 10:54:03","100","100","100","","männlich","13","0","0","7","mehr als 10 mal"
"129","4faa91742672407da1b0059bef40ee87","2019-05-16 10:57:53","0","80","20","","männlich","13","0","0","4","mehr als 10 mal"
"130","0ae4ee2510cb4e00a69e73ec4825214e","2019-05-16 11:06:46","71","23","100","","keine Angabe","17","0","0","36","Noch nie"
"131","b1249d93f2a44db88c5d649f1d42ad78","2019-05-16 11:08:26","3","53","0","","keine Angabe","99","0","99","99","unter 10"
"132","15587d7fec0c4599bdd8f4a180e94aab","2019-05-16 11:10:16","0","0","0","","intersex","26","0","60","99","mehr als 10 mal"
"133","5dbb258de5f44c8ca595c61e405f298d","2019-05-16 11:11:53","82","77","53","","intersex","13","0","0","2","Ein mal"
"134","ea73fab8e0ac4124857e0eddd3b67c5f","2019-05-16 11:13:48","79","100","50","","männlich","14","0","0","3","unter 10"
"135","0aca2459ae514d98862436ad22cb496e","2019-05-16 11:20:48","100","100","0","","weiblich","12","0","0","0","Ein mal"
"136","e9692d2a54bb43e2af5522fd5aaae894","2019-05-16 11:37:33","100","100","0","","männlich","13","0","0","7","mehr als 10 mal"
"137","80483b635faa417ca495c5ea1303ffd5","2019-05-16 11:55:00","50","0","100","","weiblich","18","0","0","0","Ein mal"
"138","f2da1f46bc6e4df8acbfa66acb011f80","2019-05-16 12:28:46","64","94","50","","männlich","64","0","45","0","unter 10"
"139","11ea5aad9d014339af32d01386c13e96","2019-05-16 12:32:08","78","75","98","","weiblich","46","0","25","0","unter 10"
"140","a630c53656c14e008ae0412b11d95d3e","2019-05-16 12:44:00","88","50","75","","männlich","49","0","30","0","Noch nie"
"141","696088784e7d43c88430bbac6efff33b","2019-05-16 12:46:23","68","79","83","","weiblich","61","0","43","0","Noch nie"
"142","475665d3bf234789b90f8604bbc132ee","2019-05-16 13:21:25","86","79","100","","weiblich","17","0","0","12","mehr als 10 mal"
"143","009dcd4f1cc84a53aa9aeccb3098e2bf","2019-05-16 13:22:15","79","100","100","","männlich","19","0","0","5","Noch nie"
"144","ba2bb0c32eb2490fa86d82d53906b2cf","2019-05-16 13:25:50","50","25","80","","weiblich","16","1","0","8","mehr als 10 mal"
"145","e93fb0de5a444270a36f8b02da7c91ae","2019-05-16 13:34:34","87","82","75","","weiblich","16","0","0","0","Noch nie"
"146","fa6ade29a30440bbb40525006b817c49","2019-05-16 13:41:18","68","50","79","","weiblich","30","0","0","0","unter 10"
"147","78fc25e4c3a344d0a1524ece3dd9e082","2019-05-17 10:21:36","0","0","0","","n","0","0","0","0","n"
"148","f119cc265191490c83bb183f3bbf0157","2019-05-17 10:34:43","0","0","0","","n","0","0","0","0","n"
"149","c7d254668ad24a6e892b0752702cd5dd","2019-05-17 10:57:22","0","0","0","","n","0","0","0","0","n"
"150","cf9a5abdfb4e41ae8fd470f03d33d116","2019-05-17 10:59:10","0","0","0","","n","0","0","0","0","n"
"151","9f1a304714d340e199bedac60aef66db","2019-05-17 11:39:49","0","0","0","","n","0","0","0","0","n"
"152","231d0064e74049d1ae4d7d3be018a72d","2019-05-17 12:17:10","0","0","0","","n","0","0","0","0","n"
"153","3d24ed2dd56348be84440e57e7149c06","2019-05-17 12:27:10","0","0","0","","n","0","0","0","0","n"
"154","cabafde790c8445b874d2069ed434ae1","2019-05-17 12:58:48","0","0","0","","n","0","0","0","0","n"
"155","f274c019d831497f89b80913b31eb7e0","2019-05-17 13:23:29","0","0","0","","n","0","0","0","0","n"
"156","c9c5d6db0d394f7cbf1aa21fd1bcde2b","2019-05-17 13:24:35","0","0","0","","n","0","0","0","0","n"
"157","34623d3021af494fb2503c3c2dded525","2019-05-17 14:03:11","75","92","32","","männlich","12","0","0","23","mehr als 10 mal"
"158","9f896a71c11e4aa4b42c4386196bcec3","2019-05-17 14:15:53","0","100","50","","weiblich","17","0","0","99","Noch nie"
"159","01060d9a506d40eea8a25b899bdd37e5","2019-05-17 14:17:25","50","50","0","","männlich","54","0","36","0","unter 10"
"160","b71f4123438349538fe6312a8ca1be78","2019-05-17 14:23:53","50","90","50","","weiblich","49","1","0","0","Noch nie"
"161","e3a7b2608b5e4c59bc58f26d4abc7ec4","2019-05-17 14:24:43","45","41","42","","männlich","19","0","0","3","unter 10"
"162","78787010188240a0a23a1eeca8208db6","2019-05-17 14:46:42","100","100","87","","männlich","79","0","60","0","Noch nie"
"163","7651b203310b48b5b60056077a0dcc64","2019-05-17 14:48:10","100","100","98","","männlich","59","0","40","0","Noch nie"
"164","220af3318fc04fe5be013553a8e480e9","2019-05-17 14:55:00","0","0","50","","weiblich","54","0","30","0","Noch nie"
"165","5fb4ab9e7ef44780832b22f47da6a3db","2019-05-17 15:08:08","70","75","78","","weiblich","24","0","0","5","unter 10"
"166","dd9be0a0a6dc4d2d9ba85c32a7ec5b77","2019-05-17 15:09:58","50","94","83","","männlich","67","0","45","0","Ein mal"
"167","55cef6d3851e4b9d8785ba08f7ce6414","2019-05-17 15:10:59","0","0","100","","männlich","20","0","2","0","Ein mal"
"168","31791cc90b204631ba21a6e066e1efa7","2019-05-17 15:12:26","50","50","100","","männlich","51","0","0","0","Ein mal"
"169","e53d37d65dfb4afebe8474cf8e48d39a","2019-05-17 15:26:06","0","19","31","","weiblich","60","0","42","0","Ein mal"
"170","b3e2b5404e714bb482bc1049f8d93cc3","2019-05-17 15:30:28","0","0","50","","weiblich","11","0","0","15","Ein mal"
"171","17d93b5860c049e7bf621dc0e2e2bee3","2019-05-17 15:30:45","50","75","50","","männlich","78","0","58","0","Noch nie"
"172","cd2d9c3de1814236ad3e1ee622643e06","2019-05-17 15:44:53","80","50","20","","männlich","38","0","0","0","unter 10"
"173","b7445723960c4284b180e78448908fa6","2019-05-17 15:55:37","72","61","81","","weiblich","36","0","18","0","Noch nie"
"174","dd5bf965f784418e9e365f783acf5d3f","2019-05-17 16:02:15","100","100","100","","männlich","22","0","0","2","Noch nie"
"175","e9e8440ec2ec4b6081f249ccfbc1725e","2019-05-17 16:04:53","30","50","77","","weiblich","21","0","0","3","unter 10"
"176","f7c4c2f7880f4122a9a7babcafa6184a","2019-05-17 16:07:28","10","11","50","","männlich","75","0","52","0","Noch nie"
"177","102783d84fe24ce3aa9b9cc0a4314faf","2019-05-17 16:12:13","100","27","100","","männlich","11","0","0","24","mehr als 10 mal"
"178","3f385427d8ea4e1db3a583e89fc5da75","2019-05-17 16:30:29","13","25","86","","männlich","66","0","33","0","unter 10"
"179","ad365deac2dd48e7ae7c3cb86dc9f072","2019-05-17 16:34:45","100","100","100","","männlich","36","0","20","0","unter 10"
"180","6873485e97984367b4cd2ded468afaf0","2019-05-17 16:57:06","5","72","100","","weiblich","51","1","1","0","Noch nie"
"181","5ada028743264895b5af5f915db1398e","2019-05-17 17:01:32","50","86","50","","männlich","70","0","63","0","Noch nie"
"182","bbfb906ed671428f8b4f0a48b394f2e9","2019-05-17 17:03:07","100","100","100","","männlich","12","0","0","6","unter 10"
"183","48627ab03a884ee08743479a14683920","2019-05-17 17:17:26","19","0","9","","weiblich","72","1","0","0","Ein mal"
"184","e09c0bcdb0544d659853d3c4f372a870","2019-05-17 17:21:14","81","96","93","","männlich","18","0","0","28","Noch nie"
"185","00a09a381c1b4d3ebd2e8a3e007e383a","2019-05-17 17:31:44","59","80","50","","männlich","63","0","44","0","unter 10"
"186","4d1e2fca24904618ae0103d55abb497f","2019-05-17 17:33:53","6","17","50","","weiblich","54","0","30","0","Ein mal"
"187","3b485499814744ddbd55c4b11b96986a","2019-05-17 17:35:23","100","88","53","","weiblich","15","0","0","0","unter 10"
"188","09fe81227b4649098d55dc2c73eade7d","2019-05-17 17:39:10","87","84","19","","männlich","34","0","16","0","Ein mal"
"189","71f5d4f978c94eac9bf4f225eb75168a","2019-05-17 17:42:39","10","20","74","","männlich","50","0","30","1","Noch nie"
"190","05a5bc41ceba4c44a49252a674c6b6b3","2019-05-17 17:44:25","0","0","93","","weiblich","57","0","30","0","Noch nie"
"191","878a271412314c998e4c5308a6b559bd","2019-05-17 17:47:38","5","86","57","","weiblich","38","0","20","1","unter 10"
"192","e0428ea3bdc54207b8caeb17c8241043","2019-05-17 17:52:10","50","50","50","","keine Angabe","62","1","15","2","Ein mal"
"193","4a37f34fe9594e4596a3007bae270966","2019-05-17 17:55:22","91","18","92","","intersex","95","0","60","0","unter 10"
"194","82860f4b62fc42ecb2fa1172838a16a1","2019-05-17 17:57:26","50","85","25","","männlich","12","0","0","0","unter 10"
"195","3c2fb461e8b94ddb87c80ec0b44bb1cd","2019-05-17 18:09:30","68","85","95","","männlich","23","0","5","0","unter 10"
"196","da69cacd3ca74fe7860801524a30846b","2019-05-17 18:10:49","100","100","100","","weiblich","19","0","0","0","Noch nie"
"197","ec92984410f64abb83f1b871da09fe0a","2019-05-17 18:15:32","66","80","95","","weiblich","55","1","37","0","unter 10"
"198","643c035d44d6499b80733baaab150fa9","2019-05-17 18:20:43","50","50","90","","weiblich","22","0","3","0","Noch nie"
"199","def7f5687465454ea3f15faa98f77e74","2019-05-17 18:21:02","72","85","19","","männlich","27","0","0","2","unter 10"
"200","164080d806bb4c168e6cdffd0e9924e0","2019-05-17 18:24:08","20","16","75","","weiblich","47","1","25","0","Ein mal"
"201","10dbe14e55a54301a92c238d798f6c15","2019-05-17 18:47:49","85","84","50","","männlich","54","0","27","0","unter 10"
"202","ce1a30f0d4364c9e89fdf5931f79b3c5","2019-05-17 18:48:13","100","84","90","","männlich","14","0","0","14","unter 10"
"203","f155be43fdfd4f3ca8b501bbf9208d8d","2019-05-17 18:52:07","50","50","50","","männlich","51","0","30","0","Noch nie"
"204","9670694acbf24c00a50fd682da68347f","2019-05-17 18:54:50","100","50","31","","weiblich","18","0","0","0","Ein mal"
"205","d0fe6a018f9a44fc9458be34c3deb449","2019-05-17 18:58:16","0","17","67","","weiblich","43","0","0","0","Ein mal"
"206","095704e3e0f34ae08a4660f22de49e4d","2019-05-17 18:58:21","0","0","0","","männlich","48","1","30","2","Noch nie"
"207","6a4adfd312e148f4859d5a9943ac5bb9","2019-05-17 19:05:03","80","50","84","","weiblich","51","0","32","1","mehr als 10 mal"
"208","5a1a73bca74d450d82f88fbd67e47db9","2019-05-18 10:44:16","100","100","100","","männlich","10","1","0","3","unter 10"
"209","6eee16373d3d4d2a9387555e4fbdd9a2","2019-05-18 10:45:12","0","0","0","","weiblich","44","0","20","0","unter 10"
"210","9fa663200bad40dd9bb14ed77e4ce3aa","2019-05-18 10:49:06","4","1","88","","weiblich","58","0","41","0","Noch nie"
